Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
17,38666,1,1,46,78,46,46,46.0,0.0,78,78,78.0,0.0,3206.951844,51.72502974,38666.0,0.0,38666,38666,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,44,25.862514,25.862514,46,78,56.666668,18.475208,341.33334,0,0,0,0,0,0,0,0,1,85.0,46.0,78.0,0,0,0,0,0,0,1,46,1,78,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,32205,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,62.10215805,32205.0,0.0,32205,32205,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,31.051079,31.051079,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,730,154,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,177,3,1,31,6,31,0,10.333333,17.897858,6,6,6.0,0.0,209039.548,22598.87006,59.0,55.668663,112,1,177,88.5,123.74369,176,1,0,0.0,0.0,0,0,0,0,0,0,96,20,16949.152,5649.7173,0,31,7.4,13.446189,180.8,0,0,0,0,1,0,0,0,0,9.25,10.333333,6.0,0,0,0,0,0,0,3,31,1,6,972,0,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
17,171,2,2,46,46,23,23,23.0,0.0,23,23,23.0,0.0,538011.6959,23391.81287,57.0,97.862144,170,0,0,0.0,0.0,0,0,1,1.0,0.0,1,1,0,0,0,0,64,64,11695.906,11695.906,23,23,23.0,0.0,0.0,0,0,0,0,0,0,0,0,1,28.75,23.0,23.0,0,0,0,0,0,0,2,46,2,46,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
17,123371,2,2,102,438,51,51,51.0,0.0,219,219,219.0,0.0,4377.041606,32.42253042,41123.668,71222.22,123364,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,64,64,16.211266,16.211266,51,219,118.2,92.01739,8467.2,0,0,0,0,0,0,0,0,1,147.75,51.0,219.0,0,0,0,0,0,0,2,102,2,438,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
17,47780,1,1,58,112,58,58,58.0,0.0,112,112,112.0,0.0,3557.974048,41.85851821,47780.0,0.0,47780,47780,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,20.929258,20.929258,58,112,76.0,31.176914,972.0,0,0,0,0,0,0,0,0,1,114.0,58.0,112.0,0,0,0,0,0,0,1,58,1,112,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
17,48166,2,2,64,128,32,32,32.0,0.0,64,64,64.0,0.0,3986.214342,83.04613213,16055.333,27763.629,48114,4,48,48.0,0.0,48,48,4,4.0,0.0,4,4,0,0,0,0,64,64,41.523067,41.523067,32,64,44.8,17.527122,307.2,0,0,0,0,0,0,0,0,1,56.0,32.0,64.0,0,0,0,0,0,0,2,64,2,128,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
17,205,2,2,76,180,38,38,38.0,0.0,90,90,90.0,0.0,1248780.488,19512.19512,68.333336,112.29574,198,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,40,40,9756.098,9756.098,38,90,58.8,28.481573,811.2,0,0,0,0,0,0,0,0,1,73.5,38.0,90.0,0,0,0,0,0,0,2,76,2,180,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,49,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,40816.32653,49.0,0.0,49,49,49,49.0,0.0,49,49,0,0.0,0.0,0,0,0,0,0,0,64,0,40816.33,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,126,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,1,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,12000000.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0,0,0,40,0,2000000.0,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,0,0,0,0,0,0,2,12,0,0,32,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
