Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
6,556507,3,4,441,870,435,0,147.0,249.43336,858,0,217.5,427.00937,2355.76551597734,12.5784581326021,92751.164,204388.61,509322,4,532690,266345.0,343621.38,509322,23368,533180,177726.67,307268.88,532530,4,0,0,0,0,72,92,5.3907676,7.1876903,0,858,163.875,318.62582,101522.414,0,0,0,1,0,0,0,0,1,187.28572,147.0,217.5,0,0,0,0,0,0,3,441,4,870,8192,31,2,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
17,31041,2,2,68,182,34,34,34.0,0.0,91,91,91.0,0.0,8053.8642440643,128.861827905029,10347.0,17918.066,31037,1,3,3.0,0.0,3,3,1,1.0,0.0,1,1,0,0,0,0,40,40,64.430916,64.430916,34,91,56.8,31.220186,974.7,0,0,0,0,0,0,0,0,1,71.0,34.0,91.0,0,0,0,0,0,0,2,68,2,182,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
17,61725,2,2,82,146,41,41,41.0,0.0,73,73,73.0,0.0,3693.80315917375,64.8035641960308,20575.0,35630.016,61717,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,64,40,32.401783,32.401783,41,73,53.8,17.527122,307.2,0,0,0,0,0,0,0,0,1,67.25,41.0,73.0,0,0,0,0,0,0,2,82,2,146,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
17,153,2,2,80,112,40,40,40.0,0.0,56,56,56.0,0.0,1254901.96078431,26143.7908496732,51.0,74.64583,137,3,3,3.0,0.0,3,3,13,13.0,0.0,13,13,0,0,0,0,64,64,13071.8955,13071.8955,40,56,46.4,8.763561,76.8,0,0,0,0,0,0,0,0,1,58.0,40.0,56.0,0,0,0,0,0,0,2,80,2,112,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
17,46593,1,1,42,233,42,42,42.0,0.0,233,233,233.0,0.0,5902.17414633099,42.9249028824072,46593.0,0.0,46593,46593,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,21.462452,21.462452,42,233,105.666664,110.2739,12160.333,0,0,0,0,0,0,0,0,1,158.5,42.0,233.0,0,0,0,0,0,0,1,42,1,233,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,115968746,26,25,3380,12964,977,0,130.0,272.21725,1755,0,518.56,713.596,140.934523858696,0.439773661086238,2319375.0,4139163.0,10023310,4,115883295,4635332.0,4951658.0,10108752,259,115883200,4828466.5,4992080.5,10108997,4,0,0,0,0,532,644,0.22419834,0.21557532,0,1755,314.30768,561.83844,315662.44,0,0,0,1,0,0,0,0,0,320.47058,130.0,518.56,0,0,0,0,0,0,26,3380,25,12964,8192,135,25,20,545777.2,1526182.4,5147390,85430,9989068.0,64001.49,10023310,9796769,Benign
17,75610,2,2,86,214,43,43,43.0,0.0,107,107,107.0,0.0,3967.72913635762,52.903055151435,25203.334,43646.527,75602,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,40,88,26.451527,26.451527,43,107,68.6,35.054245,1228.8,0,0,0,0,0,0,0,0,1,85.75,43.0,107.0,0,0,0,0,0,0,2,86,2,214,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
17,31049,2,2,60,414,30,30,30.0,0.0,207,207,207.0,0.0,15266.1921478953,128.828625720635,10349.667,17920.953,31043,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,64,64.414314,64.414314,30,207,100.8,96.94689,9398.7,0,0,0,0,0,0,0,0,1,126.0,30.0,207.0,0,0,0,0,0,0,2,60,2,414,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
17,77842140,3,3,164,326,59,52,54.666668,3.785939,120,92,108.666664,14.742229,6.29479097054629,0.07707907310873,15568428.0,21064982.0,42428650,30679,76942885,38471444.0,5639723.0,42459329,34483556,77794196,38897096.0,6266107.5,43327905,34466291,0,0,0,0,84,104,0.038539536,0.038539536,52,120,78.42857,29.658373,879.619,0,0,0,0,0,0,0,0,1,91.5,54.666668,108.666664,0,0,0,0,0,0,3,164,3,326,-1,-1,2,20,39311.5,12208.198,47944,30679,38432132.0,5651931.5,42428650,34435612,Benign
17,49620,1,1,62,90,62,62,62.0,0.0,90,90,90.0,0.0,3063.28093510681,40.3063280935107,49620.0,0.0,49620,49620,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,20.153164,20.153164,62,90,71.333336,16.165808,261.33334,0,0,0,0,0,0,0,0,1,107.0,62.0,90.0,0,0,0,0,0,0,1,62,1,90,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
